City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
La Ronge,75,CA,1551492000,69,55.1,-105.3,-9.41,13.87
Gushikawa,40,JP,1551493987,64,26.35,127.87,75.2,6.93
Nishihara,20,JP,1551494116,22,35.74,139.53,60.01,16.11
Komsomolskiy,56,RU,1551494152,66,67.55,63.78,1.81,9.31
Honningsvag,36,NO,1551494152,100,70.98,25.97,15.58,4.61
Tamiahua,8,MX,1551494152,93,21.28,-97.45,73.77,5.84
Ziro,0,IN,1551494153,78,27.54,93.82,47.76,1.92
Saint-Michel-des-Saints,0,CA,1551493866,58,46.68,-73.92,1.18,3.6
Lasa,90,CY,1551492000,72,34.92,32.53,59,4.7
Yashkul,32,RU,1551494153,87,46.17,45.34,33.94,17.92
Gejiu,68,CN,1551494153,69,23.36,103.16,62.52,3.49
Sambava,80,MG,1551494154,100,-14.27,50.17,79.3,7.29
Samarai,48,PG,1551494154,100,-10.62,150.67,82.18,5.73
Kununurra,0,AU,1551492000,47,-15.77,128.74,95,6.93
Dakar,0,SN,1551492000,12,14.69,-17.45,73.4,14.99
Karangampel,48,ID,1551494157,100,-6.46,108.44,82.36,7.63
Batagay-Alyta,8,RU,1551493962,60,67.8,130.41,-4.49,2.93
Benxi,0,CN,1551492000,20,41.29,123.76,51.8,8.95
Yarim,0,YE,1551494160,76,14.3,44.38,40.51,1.14
West Wendover,90,US,1551491760,52,40.74,-114.07,41,3.36
Coahuayana,0,MX,1551494161,63,18.62,-100.35,67.69,2.26
Kavaratti,0,IN,1551494161,100,10.57,72.64,81.87,3.04
North Bend,40,US,1551493868,75,43.41,-124.22,46.4,3.36
Hashtrud,76,IR,1551494162,82,37.48,47.05,26.29,5.73
Lata,92,IN,1551494163,70,30.78,78.62,38.58,2.15
Howard Springs,75,AU,1551494153,70,-12.5,131.05,91.99,4.7
Nuuk,20,GL,1551491400,47,64.17,-51.74,35.6,13.87
Ndjole,92,GA,1551494168,98,-0.18,10.76,70.93,2.71
Mfou,75,CM,1551488400,94,3.72,11.64,73.4,5.82
Ulladulla,75,AU,1551493911,65,-35.36,150.48,78.01,9.17
Turayf,0,SA,1551492000,100,31.68,38.65,37.4,11.41
Kilcoole,75,IE,1551493855,93,53.1,-6.07,50,11.41
Buta,64,CD,1551494172,96,2.79,24.73,68.14,2.82
Harnosand,56,SE,1551494117,59,62.63,17.94,35.6,8.05
Winslow,90,GB,1551493938,93,51.94,-0.88,48,9.17
Elat,92,CM,1551494198,96,2.91,11.16,70.62,2.48
Taguatinga,75,BR,1551492000,83,-15.83,-48.06,69.8,2.24
Alta Floresta,56,BR,1551494205,96,-9.87,-56.08,72.87,1.92
Seoul,1,KR,1551493200,36,37.57,126.98,48.2,3.36
Cortazar,0,MX,1551494206,60,20.48,-100.96,59.64,1.59
Agbor,100,NG,1551494210,97,6.26,6.15,75.39,2.15
Katobu,56,ID,1551494210,82,-4.94,122.53,87.27,3.15
Ancud,90,CL,1551492000,81,-41.87,-73.83,53.6,4.7
Nampa,90,US,1551494183,69,43.57,-116.56,39.2,5.82
Enfield,75,GB,1551494206,81,51.65,-0.08,48.2,5.82
Saint Anthony,1,US,1551494006,50,43.97,-111.68,28.99,3.94
Chiredzi,0,ZW,1551494214,74,-21.05,31.67,71.11,5.06
Elk City,1,US,1551494030,74,35.41,-99.4,35.6,3.36
Cascais,75,PT,1551494164,93,38.7,-9.42,57.99,9.17
Ixtapa,5,MX,1551493827,78,20.71,-105.21,75.2,6.93
Guerrero Negro,48,MX,1551494215,92,27.97,-114.04,58.47,10.42
Batagay,56,RU,1551494216,76,67.65,134.64,-18.04,4.38
Farafangana,88,MG,1551494216,96,-22.82,47.83,80.52,5.73
Skoghall,12,SE,1551493883,86,59.32,13.47,28.99,8.05
Kearney,1,US,1551494063,78,40.7,-99.08,19.4,4.7
Phuket,20,TH,1551493550,66,7.89,98.4,84.99,8.05
Nokaneng,24,BW,1551494238,75,-19.66,22.19,69.63,3.15
Maceio,20,BR,1551492000,88,-9.67,-35.74,77,3.36
Rio Grande,0,BR,1551494243,81,-32.03,-52.1,73.54,16.46
Itarema,36,BR,1551494243,94,-2.92,-39.92,74.67,4.16
Alekseyevsk,88,RU,1551494243,69,57.84,108.35,25.26,2.71
Puerto del Rosario,88,ES,1551492000,72,28.5,-13.86,64.4,11.41
Kerrobert,5,CA,1551493897,68,51.92,-109.14,-15,13.87
Sinaloa,90,MX,1551494115,27,32.55,-115.28,77,5.82
Westport,68,IE,1551494222,94,53.8,-9.52,46.99,8.75
Kirakira,0,SB,1551494248,100,-10.46,161.92,83.31,6.17
Yashalta,80,RU,1551494248,93,46.34,42.27,32.14,15.57
Gat,0,SN,1551492000,12,14.69,-16.54,73.4,14.99
Delmenhorst,75,DE,1551494225,80,53.05,8.63,41,6.93
Maldonado,0,UY,1551492000,64,-34.91,-54.96,71.6,4.7
Harer,1,US,1551494202,85,42.19,-111.17,33.01,9.17
Kaputa,48,ZM,1551494254,97,-8.47,29.66,61.26,2.37
Nhulunbuy,40,AU,1551492000,78,-12.18,136.78,82.4,12.75
Kachiry,64,KZ,1551494255,78,53.07,76.1,17.11,3.15
Cururupu,92,BR,1551494258,94,-1.82,-44.87,76.78,4.16
Bartica,40,GY,1551492000,94,6.41,-58.62,73.4,4.7
Gryazovets,64,RU,1551494258,76,58.88,40.25,10.77,6.06
Turmalina,64,BR,1551494259,95,-17.29,-42.73,66.93,2.37
Golden,64,CA,1551493849,59,51.3,-116.96,-15,15.99
Salina,75,US,1551494155,93,36.29,-95.15,37.4,5.82
Marfino,0,RU,1551493757,85,56.07,37.56,17.6,11.18
Parrita,20,CR,1551494057,68,9.52,-84.33,71.6,16.11
Breves,68,BR,1551494260,97,-1.68,-50.48,76.11,5.73
Qeshm,0,IR,1551492000,55,26.96,56.27,60.8,9.17
Urucara,0,BR,1551494264,84,-2.54,-57.76,77.86,3.71
Palmer,1,US,1551493924,54,61.6,-149.11,30.99,1.59
Marrakesh,0,MA,1551492000,76,31.63,-7.99,53.6,4.7
Zemio,0,CF,1551494268,94,5.02,25.13,66.7,2.37
Homer,1,US,1551494134,74,59.64,-151.54,37.4,3.27
Diban,0,SY,1551494268,87,35.02,40.51,34.44,7.74
Kilifi,76,KE,1551494269,90,-3.63,39.85,71.88,2.93
Eureka,90,US,1551494120,76,40.8,-124.16,48.99,3.15
Mountain Home,90,US,1551494253,60,43.13,-115.69,41,11.41
Champasak,40,LA,1551492000,54,14.89,105.88,80.6,11.41
Macae,90,BR,1551488400,94,-22.37,-41.79,75.2,1.12
Shibetsu,75,JP,1551492000,79,44.15,142.46,28.4,3.36
Isangel,76,VU,1551493888,100,-19.55,169.27,80.74,25.86
Norman Wells,5,CA,1551492000,49,65.28,-126.83,1.4,14.99
Karla,90,EE,1551494224,79,59.37,24.93,26.01,8.05
Gorontalo,12,ID,1551494253,52,0.54,123.06,88.84,2.15
Ust-Koksa,88,RU,1551494271,80,50.27,85.62,23.41,1.92
Escanaba,90,US,1551493956,92,45.75,-87.06,21.99,4.7
Ojinaga,1,US,1551493961,18,29.56,-104.41,73.4,4.7
Paita,48,PE,1551494213,75,-5.09,-81.11,76.29,7.63
Hirado,0,JP,1551494020,50,33.32,129.49,54,4.7
Whitehorse,20,CA,1551492906,62,60.72,-135.06,23,10.29
Bathsheba,20,BB,1551492000,69,13.22,-59.52,78.8,23.04
Aswan,0,EG,1551492000,34,24.09,32.9,51.8,6.93
Plettenberg Bay,64,ZA,1551494273,99,-34.05,23.37,64.18,6.06
Richards Bay,32,ZA,1551493948,93,-28.77,32.06,71.52,4.27
Filingue,0,NE,1551494274,25,14.35,3.32,64.18,11.65
Mzimba,88,MW,1551494274,94,-11.9,33.6,63.06,2.71
Kholm-Zhirkovskiy,48,RU,1551494274,79,55.52,33.47,13.33,7.96
Stokmarknes,0,NO,1551493853,82,68.56,14.91,27,5.99
Kichmengskiy Gorodok,56,RU,1551494275,80,59.99,45.81,7.75,3.15
Rocha,12,UY,1551494275,60,-34.48,-54.34,68.19,10.65
Abu Kamal,0,SY,1551494276,86,34.45,40.92,34.89,6.73
Havre-Saint-Pierre,20,CA,1551492000,51,50.23,-63.6,14,10.29
Zhangye,0,CN,1551494276,83,38.94,100.46,34.48,4.38
Yarmouth,100,GB,1551494226,100,50.71,-1.5,50,9.17
Emerald,40,AU,1551494014,40,-23.53,148.16,87.01,13.87
Tulun,0,RU,1551494277,79,54.56,100.58,29.04,3.38
Portree,80,GB,1551493947,94,57.41,-6.19,45,1.01
Hualmay,56,PE,1551494278,84,-11.1,-77.61,69.85,3.71
Dali,0,CN,1551494278,60,25.6,100.24,53.74,4.38
Anadyr,40,RU,1551493988,92,64.73,177.51,23,22.37
